"country_from","country_to","has_same_ethnicity"
"AD","AL",FALSE
"AM","AL",FALSE
"AU","AL",TRUE
"AT","AL",FALSE
"AZ","AL",FALSE
"BY","AL",FALSE
"BE","AL",FALSE
"BG","AL",TRUE
"HR","AL",TRUE
"CY","AL",TRUE
"DK","AL",FALSE
"EE","AL",FALSE
"FI","AL",TRUE
"FR","AL",FALSE
"GE","AL",TRUE
"DE","AL",FALSE
"GR","AL",TRUE
"HU","AL",TRUE
"IS","AL",FALSE
"IE","AL",FALSE
"IL","AL",FALSE
"IT","AL",FALSE
"LV","AL",FALSE
"LT","AL",FALSE
"LU","AL",FALSE
"MT","AL",FALSE
"MD","AL",FALSE
"MC","AL",FALSE
"ME","AL",TRUE
"MA","AL",FALSE
"NL","AL",FALSE
"MK","AL",TRUE
"NO","AL",FALSE
"PL","AL",FALSE
"PT","AL",FALSE
"RO","AL",TRUE
"RU","AL",FALSE
"SM","AL",FALSE
"RS","AL",TRUE
"SK","AL",TRUE
"SI","AL",FALSE
"ES","AL",FALSE
"SE","AL",FALSE
"CH","AL",FALSE
"UA","AL",FALSE
"GB","AL",FALSE
"AL","AD",FALSE
"AM","AD",FALSE
"AU","AD",FALSE
"AT","AD",FALSE
"AZ","AD",FALSE
"BY","AD",FALSE
"BE","AD",TRUE
"BG","AD",FALSE
"HR","AD",FALSE
"CY","AD",FALSE
"DK","AD",FALSE
"EE","AD",FALSE
"FI","AD",FALSE
"FR","AD",FALSE
"GE","AD",FALSE
"DE","AD",FALSE
"GR","AD",FALSE
"HU","AD",FALSE
"IS","AD",FALSE
"IE","AD",FALSE
"IL","AD",FALSE
"IT","AD",TRUE
"LV","AD",FALSE
"LT","AD",FALSE
"LU","AD",TRUE
"MT","AD",FALSE
"MD","AD",FALSE
"MC","AD",TRUE
"ME","AD",FALSE
"MA","AD",FALSE
"NL","AD",FALSE
"MK","AD",FALSE
"NO","AD",FALSE
"PL","AD",FALSE
"PT","AD",TRUE
"RO","AD",FALSE
"RU","AD",FALSE
"SM","AD",FALSE
"RS","AD",FALSE
"SK","AD",FALSE
"SI","AD",FALSE
"ES","AD",TRUE
"SE","AD",FALSE
"CH","AD",TRUE
"UA","AD",FALSE
"GB","AD",FALSE
"AL","AM",FALSE
"AD","AM",FALSE
"AU","AM",FALSE
"AT","AM",FALSE
"AZ","AM",TRUE
"BY","AM",FALSE
"BE","AM",FALSE
"BG","AM",TRUE
"HR","AM",FALSE
"CY","AM",TRUE
"DK","AM",FALSE
"EE","AM",FALSE
"FI","AM",FALSE
"FR","AM",FALSE
"GE","AM",TRUE
"DE","AM",FALSE
"GR","AM",FALSE
"HU","AM",FALSE
"IS","AM",FALSE
"IE","AM",FALSE
"IL","AM",FALSE
"IT","AM",FALSE
"LV","AM",FALSE
"LT","AM",FALSE
"LU","AM",FALSE
"MT","AM",FALSE
"MD","AM",FALSE
"MC","AM",FALSE
"ME","AM",FALSE
"MA","AM",FALSE
"NL","AM",FALSE
"MK","AM",FALSE
"NO","AM",FALSE
"PL","AM",FALSE
"PT","AM",FALSE
"RO","AM",FALSE
"RU","AM",FALSE
"SM","AM",FALSE
"RS","AM",FALSE
"SK","AM",FALSE
"SI","AM",FALSE
"ES","AM",FALSE
"SE","AM",FALSE
"CH","AM",FALSE
"UA","AM",FALSE
"GB","AM",FALSE
"AL","AU",TRUE
"AD","AU",FALSE
"AM","AU",FALSE
"AT","AU",TRUE
"AZ","AU",FALSE
"BY","AU",FALSE
"BE","AU",TRUE
"BG","AU",FALSE
"HR","AU",FALSE
"CY","AU",TRUE
"DK","AU",TRUE
"EE","AU",FALSE
"FI","AU",FALSE
"FR","AU",TRUE
"GE","AU",TRUE
"DE","AU",TRUE
"GR","AU",TRUE
"HU","AU",TRUE
"IS","AU",FALSE
"IE","AU",TRUE
"IL","AU",FALSE
"IT","AU",TRUE
"LV","AU",FALSE
"LT","AU",FALSE
"LU","AU",TRUE
"MT","AU",TRUE
"MD","AU",FALSE
"MC","AU",TRUE
"ME","AU",FALSE
"MA","AU",FALSE
"NL","AU",FALSE
"MK","AU",FALSE
"NO","AU",FALSE
"PL","AU",TRUE
"PT","AU",TRUE
"RO","AU",TRUE
"RU","AU",FALSE
"SM","AU",TRUE
"RS","AU",FALSE
"SK","AU",TRUE
"SI","AU",FALSE
"ES","AU",FALSE
"SE","AU",FALSE
"CH","AU",TRUE
"UA","AU",FALSE
"GB","AU",TRUE
"AL","AT",FALSE
"AD","AT",FALSE
"AM","AT",FALSE
"AU","AT",TRUE
"AZ","AT",FALSE
"BY","AT",FALSE
"BE","AT",TRUE
"BG","AT",TRUE
"HR","AT",FALSE
"CY","AT",FALSE
"DK","AT",TRUE
"EE","AT",FALSE
"FI","AT",FALSE
"FR","AT",FALSE
"GE","AT",FALSE
"DE","AT",TRUE
"GR","AT",FALSE
"HU","AT",TRUE
"IS","AT",FALSE
"IE","AT",FALSE
"IL","AT",FALSE
"IT","AT",TRUE
"LV","AT",FALSE
"LT","AT",FALSE
"LU","AT",TRUE
"MT","AT",FALSE
"MD","AT",TRUE
"MC","AT",TRUE
"ME","AT",TRUE
"MA","AT",FALSE
"NL","AT",TRUE
"MK","AT",TRUE
"NO","AT",FALSE
"PL","AT",TRUE
"PT","AT",FALSE
"RO","AT",TRUE
"RU","AT",FALSE
"SM","AT",FALSE
"RS","AT",FALSE
"SK","AT",TRUE
"SI","AT",FALSE
"ES","AT",TRUE
"SE","AT",FALSE
"CH","AT",TRUE
"UA","AT",TRUE
"GB","AT",FALSE
"AL","AZ",FALSE
"AD","AZ",FALSE
"AM","AZ",TRUE
"AU","AZ",FALSE
"AT","AZ",FALSE
"BY","AZ",TRUE
"BE","AZ",FALSE
"BG","AZ",TRUE
"HR","AZ",FALSE
"CY","AZ",TRUE
"DK","AZ",FALSE
"EE","AZ",TRUE
"FI","AZ",TRUE
"FR","AZ",FALSE
"GE","AZ",TRUE
"DE","AZ",FALSE
"GR","AZ",FALSE
"HU","AZ",FALSE
"IS","AZ",FALSE
"IE","AZ",FALSE
"IL","AZ",FALSE
"IT","AZ",FALSE
"LV","AZ",TRUE
"LT","AZ",TRUE
"LU","AZ",FALSE
"MT","AZ",FALSE
"MD","AZ",TRUE
"MC","AZ",TRUE
"ME","AZ",FALSE
"MA","AZ",FALSE
"NL","AZ",FALSE
"MK","AZ",FALSE
"NO","AZ",FALSE
"PL","AZ",FALSE
"PT","AZ",FALSE
"RO","AZ",FALSE
"RU","AZ",TRUE
"SM","AZ",FALSE
"RS","AZ",FALSE
"SK","AZ",TRUE
"SI","AZ",FALSE
"ES","AZ",FALSE
"SE","AZ",FALSE
"CH","AZ",FALSE
"UA","AZ",TRUE
"GB","AZ",FALSE
"AL","BY",FALSE
"AD","BY",FALSE
"AM","BY",FALSE
"AU","BY",FALSE
"AT","BY",FALSE
"AZ","BY",TRUE
"BE","BY",FALSE
"BG","BY",TRUE
"HR","BY",FALSE
"CY","BY",FALSE
"DK","BY",TRUE
"EE","BY",TRUE
"FI","BY",TRUE
"FR","BY",FALSE
"GE","BY",TRUE
"DE","BY",TRUE
"GR","BY",FALSE
"HU","BY",FALSE
"IS","BY",TRUE
"IE","BY",FALSE
"IL","BY",FALSE
"IT","BY",FALSE
"LV","BY",TRUE
"LT","BY",TRUE
"LU","BY",FALSE
"MT","BY",FALSE
"MD","BY",TRUE
"MC","BY",TRUE
"ME","BY",FALSE
"MA","BY",FALSE
"NL","BY",FALSE
"MK","BY",FALSE
"NO","BY",FALSE
"PL","BY",TRUE
"PT","BY",FALSE
"RO","BY",TRUE
"RU","BY",TRUE
"SM","BY",FALSE
"RS","BY",FALSE
"SK","BY",TRUE
"SI","BY",FALSE
"ES","BY",FALSE
"SE","BY",FALSE
"CH","BY",FALSE
"UA","BY",TRUE
"GB","BY",FALSE
"AL","BE",FALSE
"AD","BE",TRUE
"AM","BE",FALSE
"AU","BE",TRUE
"AT","BE",TRUE
"AZ","BE",FALSE
"BY","BE",FALSE
"BG","BE",TRUE
"HR","BE",FALSE
"CY","BE",FALSE
"DK","BE",TRUE
"EE","BE",FALSE
"FI","BE",FALSE
"FR","BE",TRUE
"GE","BE",FALSE
"DE","BE",TRUE
"GR","BE",FALSE
"HU","BE",FALSE
"IS","BE",FALSE
"IE","BE",FALSE
"IL","BE",FALSE
"IT","BE",TRUE
"LV","BE",FALSE
"LT","BE",FALSE
"LU","BE",TRUE
"MT","BE",TRUE
"MD","BE",FALSE
"MC","BE",TRUE
"ME","BE",FALSE
"MA","BE",FALSE
"NL","BE",TRUE
"MK","BE",TRUE
"NO","BE",FALSE
"PL","BE",FALSE
"PT","BE",FALSE
"RO","BE",FALSE
"RU","BE",FALSE
"SM","BE",TRUE
"RS","BE",FALSE
"SK","BE",FALSE
"SI","BE",FALSE
"ES","BE",TRUE
"SE","BE",FALSE
"CH","BE",TRUE
"UA","BE",FALSE
"GB","BE",FALSE
"AL","BG",TRUE
"AD","BG",FALSE
"AM","BG",TRUE
"AU","BG",FALSE
"AT","BG",TRUE
"AZ","BG",TRUE
"BY","BG",TRUE
"BE","BG",TRUE
"HR","BG",TRUE
"CY","BG",TRUE
"DK","BG",TRUE
"EE","BG",TRUE
"FI","BG",TRUE
"FR","BG",FALSE
"GE","BG",TRUE
"DE","BG",TRUE
"GR","BG",FALSE
"HU","BG",TRUE
"IS","BG",FALSE
"IE","BG",FALSE
"IL","BG",FALSE
"IT","BG",FALSE
"LV","BG",TRUE
"LT","BG",TRUE
"LU","BG",FALSE
"MT","BG",FALSE
"MD","BG",TRUE
"MC","BG",TRUE
"ME","BG",TRUE
"MA","BG",FALSE
"NL","BG",TRUE
"MK","BG",TRUE
"NO","BG",FALSE
"PL","BG",FALSE
"PT","BG",FALSE
"RO","BG",TRUE
"RU","BG",TRUE
"SM","BG",FALSE
"RS","BG",TRUE
"SK","BG",TRUE
"SI","BG",FALSE
"ES","BG",FALSE
"SE","BG",FALSE
"CH","BG",TRUE
"UA","BG",TRUE
"GB","BG",FALSE
"AL","HR",TRUE
"AD","HR",FALSE
"AM","HR",FALSE
"AU","HR",FALSE
"AT","HR",FALSE
"AZ","HR",FALSE
"BY","HR",FALSE
"BE","HR",FALSE
"BG","HR",TRUE
"CY","HR",FALSE
"DK","HR",FALSE
"EE","HR",FALSE
"FI","HR",TRUE
"FR","HR",FALSE
"GE","HR",FALSE
"DE","HR",FALSE
"GR","HR",FALSE
"HU","HR",TRUE
"IS","HR",FALSE
"IE","HR",FALSE
"IL","HR",FALSE
"IT","HR",FALSE
"LV","HR",FALSE
"LT","HR",FALSE
"LU","HR",FALSE
"MT","HR",FALSE
"MD","HR",FALSE
"MC","HR",FALSE
"ME","HR",TRUE
"MA","HR",FALSE
"NL","HR",FALSE
"MK","HR",TRUE
"NO","HR",FALSE
"PL","HR",FALSE
"PT","HR",FALSE
"RO","HR",TRUE
"RU","HR",FALSE
"SM","HR",FALSE
"RS","HR",TRUE
"SK","HR",TRUE
"SI","HR",TRUE
"ES","HR",FALSE
"SE","HR",FALSE
"CH","HR",FALSE
"UA","HR",TRUE
"GB","HR",FALSE
"AL","CY",TRUE
"AD","CY",FALSE
"AM","CY",TRUE
"AU","CY",TRUE
"AT","CY",FALSE
"AZ","CY",TRUE
"BY","CY",FALSE
"BE","CY",FALSE
"BG","CY",TRUE
"HR","CY",FALSE
"DK","CY",FALSE
"EE","CY",FALSE
"FI","CY",FALSE
"FR","CY",FALSE
"GE","CY",TRUE
"DE","CY",FALSE
"GR","CY",TRUE
"HU","CY",FALSE
"IS","CY",FALSE
"IE","CY",FALSE
"IL","CY",FALSE
"IT","CY",FALSE
"LV","CY",FALSE
"LT","CY",FALSE
"LU","CY",FALSE
"MT","CY",FALSE
"MD","CY",FALSE
"MC","CY",FALSE
"ME","CY",FALSE
"MA","CY",FALSE
"NL","CY",FALSE
"MK","CY",FALSE
"NO","CY",FALSE
"PL","CY",FALSE
"PT","CY",FALSE
"RO","CY",FALSE
"RU","CY",FALSE
"SM","CY",FALSE
"RS","CY",FALSE
"SK","CY",FALSE
"SI","CY",FALSE
"ES","CY",FALSE
"SE","CY",FALSE
"CH","CY",FALSE
"UA","CY",FALSE
"GB","CY",FALSE
"AL","DK",FALSE
"AD","DK",FALSE
"AM","DK",FALSE
"AU","DK",TRUE
"AT","DK",TRUE
"AZ","DK",FALSE
"BY","DK",TRUE
"BE","DK",TRUE
"BG","DK",TRUE
"HR","DK",FALSE
"CY","DK",FALSE
"EE","DK",FALSE
"FI","DK",FALSE
"FR","DK",FALSE
"GE","DK",FALSE
"DE","DK",TRUE
"GR","DK",FALSE
"HU","DK",TRUE
"IS","DK",TRUE
"IE","DK",FALSE
"IL","DK",FALSE
"IT","DK",TRUE
"LV","DK",TRUE
"LT","DK",TRUE
"LU","DK",TRUE
"MT","DK",FALSE
"MD","DK",TRUE
"MC","DK",TRUE
"ME","DK",FALSE
"MA","DK",FALSE
"NL","DK",TRUE
"MK","DK",TRUE
"NO","DK",FALSE
"PL","DK",TRUE
"PT","DK",FALSE
"RO","DK",TRUE
"RU","DK",FALSE
"SM","DK",FALSE
"RS","DK",FALSE
"SK","DK",TRUE
"SI","DK",FALSE
"ES","DK",TRUE
"SE","DK",TRUE
"CH","DK",TRUE
"UA","DK",TRUE
"GB","DK",FALSE
"AL","EE",FALSE
"AD","EE",FALSE
"AM","EE",FALSE
"AU","EE",FALSE
"AT","EE",FALSE
"AZ","EE",TRUE
"BY","EE",TRUE
"BE","EE",FALSE
"BG","EE",TRUE
"HR","EE",FALSE
"CY","EE",FALSE
"DK","EE",FALSE
"FI","EE",TRUE
"FR","EE",FALSE
"GE","EE",TRUE
"DE","EE",FALSE
"GR","EE",FALSE
"HU","EE",FALSE
"IS","EE",FALSE
"IE","EE",FALSE
"IL","EE",FALSE
"IT","EE",FALSE
"LV","EE",TRUE
"LT","EE",TRUE
"LU","EE",FALSE
"MT","EE",FALSE
"MD","EE",TRUE
"MC","EE",TRUE
"ME","EE",FALSE
"MA","EE",FALSE
"NL","EE",FALSE
"MK","EE",FALSE
"NO","EE",FALSE
"PL","EE",TRUE
"PT","EE",FALSE
"RO","EE",TRUE
"RU","EE",TRUE
"SM","EE",FALSE
"RS","EE",FALSE
"SK","EE",TRUE
"SI","EE",FALSE
"ES","EE",FALSE
"SE","EE",FALSE
"CH","EE",FALSE
"UA","EE",TRUE
"GB","EE",FALSE
"AL","FI",TRUE
"AD","FI",FALSE
"AM","FI",FALSE
"AU","FI",FALSE
"AT","FI",FALSE
"AZ","FI",TRUE
"BY","FI",TRUE
"BE","FI",FALSE
"BG","FI",TRUE
"HR","FI",TRUE
"CY","FI",FALSE
"DK","FI",FALSE
"EE","FI",TRUE
"FR","FI",FALSE
"GE","FI",TRUE
"DE","FI",FALSE
"GR","FI",FALSE
"HU","FI",TRUE
"IS","FI",FALSE
"IE","FI",FALSE
"IL","FI",FALSE
"IT","FI",FALSE
"LV","FI",TRUE
"LT","FI",TRUE
"LU","FI",FALSE
"MT","FI",FALSE
"MD","FI",TRUE
"MC","FI",TRUE
"ME","FI",TRUE
"MA","FI",FALSE
"NL","FI",FALSE
"MK","FI",TRUE
"NO","FI",FALSE
"PL","FI",FALSE
"PT","FI",FALSE
"RO","FI",TRUE
"RU","FI",TRUE
"SM","FI",FALSE
"RS","FI",TRUE
"SK","FI",TRUE
"SI","FI",FALSE
"ES","FI",FALSE
"SE","FI",TRUE
"CH","FI",FALSE
"UA","FI",TRUE
"GB","FI",FALSE
"AL","FR",FALSE
"AD","FR",FALSE
"AM","FR",FALSE
"AU","FR",TRUE
"AT","FR",FALSE
"AZ","FR",FALSE
"BY","FR",FALSE
"BE","FR",TRUE
"BG","FR",FALSE
"HR","FR",FALSE
"CY","FR",FALSE
"DK","FR",FALSE
"EE","FR",FALSE
"FI","FR",FALSE
"GE","FR",FALSE
"DE","FR",FALSE
"GR","FR",FALSE
"HU","FR",FALSE
"IS","FR",FALSE
"IE","FR",TRUE
"IL","FR",FALSE
"IT","FR",FALSE
"LV","FR",FALSE
"LT","FR",FALSE
"LU","FR",FALSE
"MT","FR",FALSE
"MD","FR",FALSE
"MC","FR",TRUE
"ME","FR",FALSE
"MA","FR",FALSE
"NL","FR",TRUE
"MK","FR",FALSE
"NO","FR",FALSE
"PL","FR",FALSE
"PT","FR",TRUE
"RO","FR",FALSE
"RU","FR",FALSE
"SM","FR",FALSE
"RS","FR",FALSE
"SK","FR",FALSE
"SI","FR",FALSE
"ES","FR",TRUE
"SE","FR",FALSE
"CH","FR",FALSE
"UA","FR",FALSE
"GB","FR",TRUE
"AL","GE",TRUE
"AD","GE",FALSE
"AM","GE",TRUE
"AU","GE",TRUE
"AT","GE",FALSE
"AZ","GE",TRUE
"BY","GE",TRUE
"BE","GE",FALSE
"BG","GE",TRUE
"HR","GE",FALSE
"CY","GE",TRUE
"DK","GE",FALSE
"EE","GE",TRUE
"FI","GE",TRUE
"FR","GE",FALSE
"DE","GE",FALSE
"GR","GE",TRUE
"HU","GE",FALSE
"IS","GE",FALSE
"IE","GE",FALSE
"IL","GE",FALSE
"IT","GE",FALSE
"LV","GE",TRUE
"LT","GE",TRUE
"LU","GE",FALSE
"MT","GE",FALSE
"MD","GE",TRUE
"MC","GE",TRUE
"ME","GE",FALSE
"MA","GE",FALSE
"NL","GE",FALSE
"MK","GE",FALSE
"NO","GE",FALSE
"PL","GE",TRUE
"PT","GE",FALSE
"RO","GE",TRUE
"RU","GE",TRUE
"SM","GE",FALSE
"RS","GE",FALSE
"SK","GE",TRUE
"SI","GE",FALSE
"ES","GE",FALSE
"SE","GE",FALSE
"CH","GE",FALSE
"UA","GE",TRUE
"GB","GE",FALSE
"AL","DE",FALSE
"AD","DE",FALSE
"AM","DE",FALSE
"AU","DE",TRUE
"AT","DE",TRUE
"AZ","DE",FALSE
"BY","DE",TRUE
"BE","DE",TRUE
"BG","DE",TRUE
"HR","DE",FALSE
"CY","DE",FALSE
"DK","DE",TRUE
"EE","DE",FALSE
"FI","DE",FALSE
"FR","DE",FALSE
"GE","DE",FALSE
"GR","DE",FALSE
"HU","DE",TRUE
"IS","DE",TRUE
"IE","DE",FALSE
"IL","DE",FALSE
"IT","DE",TRUE
"LV","DE",TRUE
"LT","DE",TRUE
"LU","DE",TRUE
"MT","DE",FALSE
"MD","DE",TRUE
"MC","DE",TRUE
"ME","DE",FALSE
"MA","DE",FALSE
"NL","DE",TRUE
"MK","DE",TRUE
"NO","DE",FALSE
"PL","DE",TRUE
"PT","DE",FALSE
"RO","DE",TRUE
"RU","DE",FALSE
"SM","DE",FALSE
"RS","DE",FALSE
"SK","DE",TRUE
"SI","DE",FALSE
"ES","DE",TRUE
"SE","DE",TRUE
"CH","DE",TRUE
"UA","DE",TRUE
"GB","DE",FALSE
"AL","GR",TRUE
"AD","GR",FALSE
"AM","GR",FALSE
"AU","GR",TRUE
"AT","GR",FALSE
"AZ","GR",FALSE
"BY","GR",FALSE
"BE","GR",FALSE
"BG","GR",FALSE
"HR","GR",FALSE
"CY","GR",TRUE
"DK","GR",FALSE
"EE","GR",FALSE
"FI","GR",FALSE
"FR","GR",FALSE
"GE","GR",TRUE
"DE","GR",FALSE
"HU","GR",FALSE
"IS","GR",FALSE
"IE","GR",FALSE
"IL","GR",FALSE
"IT","GR",FALSE
"LV","GR",FALSE
"LT","GR",FALSE
"LU","GR",FALSE
"MT","GR",FALSE
"MD","GR",FALSE
"MC","GR",FALSE
"ME","GR",TRUE
"MA","GR",FALSE
"NL","GR",FALSE
"MK","GR",TRUE
"NO","GR",FALSE
"PL","GR",FALSE
"PT","GR",FALSE
"RO","GR",FALSE
"RU","GR",FALSE
"SM","GR",FALSE
"RS","GR",FALSE
"SK","GR",FALSE
"SI","GR",FALSE
"ES","GR",FALSE
"SE","GR",FALSE
"CH","GR",FALSE
"UA","GR",FALSE
"GB","GR",FALSE
"AL","HU",TRUE
"AD","HU",FALSE
"AM","HU",FALSE
"AU","HU",TRUE
"AT","HU",TRUE
"AZ","HU",FALSE
"BY","HU",FALSE
"BE","HU",FALSE
"BG","HU",TRUE
"HR","HU",TRUE
"CY","HU",FALSE
"DK","HU",TRUE
"EE","HU",FALSE
"FI","HU",TRUE
"FR","HU",FALSE
"GE","HU",FALSE
"DE","HU",TRUE
"GR","HU",FALSE
"IS","HU",FALSE
"IE","HU",FALSE
"IL","HU",FALSE
"IT","HU",TRUE
"LV","HU",FALSE
"LT","HU",FALSE
"LU","HU",TRUE
"MT","HU",FALSE
"MD","HU",FALSE
"MC","HU",TRUE
"ME","HU",TRUE
"MA","HU",FALSE
"NL","HU",FALSE
"MK","HU",TRUE
"NO","HU",FALSE
"PL","HU",TRUE
"PT","HU",FALSE
"RO","HU",TRUE
"RU","HU",FALSE
"SM","HU",FALSE
"RS","HU",TRUE
"SK","HU",TRUE
"SI","HU",FALSE
"ES","HU",FALSE
"SE","HU",FALSE
"CH","HU",TRUE
"UA","HU",TRUE
"GB","HU",FALSE
"AL","IS",FALSE
"AD","IS",FALSE
"AM","IS",FALSE
"AU","IS",FALSE
"AT","IS",FALSE
"AZ","IS",FALSE
"BY","IS",TRUE
"BE","IS",FALSE
"BG","IS",FALSE
"HR","IS",FALSE
"CY","IS",FALSE
"DK","IS",TRUE
"EE","IS",FALSE
"FI","IS",FALSE
"FR","IS",FALSE
"GE","IS",FALSE
"DE","IS",TRUE
"GR","IS",FALSE
"HU","IS",FALSE
"IE","IS",FALSE
"IL","IS",FALSE
"IT","IS",FALSE
"LV","IS",TRUE
"LT","IS",TRUE
"LU","IS",FALSE
"MT","IS",FALSE
"MD","IS",FALSE
"MC","IS",FALSE
"ME","IS",FALSE
"MA","IS",FALSE
"NL","IS",FALSE
"MK","IS",FALSE
"NO","IS",FALSE
"PL","IS",TRUE
"PT","IS",FALSE
"RO","IS",FALSE
"RU","IS",FALSE
"SM","IS",FALSE
"RS","IS",FALSE
"SK","IS",TRUE
"SI","IS",FALSE
"ES","IS",FALSE
"SE","IS",FALSE
"CH","IS",FALSE
"UA","IS",TRUE
"GB","IS",FALSE
"AL","IE",FALSE
"AD","IE",FALSE
"AM","IE",FALSE
"AU","IE",TRUE
"AT","IE",FALSE
"AZ","IE",FALSE
"BY","IE",FALSE
"BE","IE",FALSE
"BG","IE",FALSE
"HR","IE",FALSE
"CY","IE",FALSE
"DK","IE",FALSE
"EE","IE",FALSE
"FI","IE",FALSE
"FR","IE",TRUE
"GE","IE",FALSE
"DE","IE",FALSE
"GR","IE",FALSE
"HU","IE",FALSE
"IS","IE",FALSE
"IL","IE",FALSE
"IT","IE",FALSE
"LV","IE",FALSE
"LT","IE",FALSE
"LU","IE",FALSE
"MT","IE",FALSE
"MD","IE",FALSE
"MC","IE",FALSE
"ME","IE",FALSE
"MA","IE",FALSE
"NL","IE",FALSE
"MK","IE",FALSE
"NO","IE",FALSE
"PL","IE",FALSE
"PT","IE",FALSE
"RO","IE",FALSE
"RU","IE",FALSE
"SM","IE",FALSE
"RS","IE",FALSE
"SK","IE",FALSE
"SI","IE",FALSE
"ES","IE",FALSE
"SE","IE",FALSE
"CH","IE",FALSE
"UA","IE",FALSE
"GB","IE",TRUE
"AL","IL",FALSE
"AD","IL",FALSE
"AM","IL",FALSE
"AU","IL",FALSE
"AT","IL",FALSE
"AZ","IL",FALSE
"BY","IL",FALSE
"BE","IL",FALSE
"BG","IL",FALSE
"HR","IL",FALSE
"CY","IL",FALSE
"DK","IL",FALSE
"EE","IL",FALSE
"FI","IL",FALSE
"FR","IL",FALSE
"GE","IL",FALSE
"DE","IL",FALSE
"GR","IL",FALSE
"HU","IL",FALSE
"IS","IL",FALSE
"IE","IL",FALSE
"IT","IL",FALSE
"LV","IL",FALSE
"LT","IL",FALSE
"LU","IL",FALSE
"MT","IL",FALSE
"MD","IL",FALSE
"MC","IL",FALSE
"ME","IL",FALSE
"MA","IL",FALSE
"NL","IL",FALSE
"MK","IL",FALSE
"NO","IL",FALSE
"PL","IL",FALSE
"PT","IL",FALSE
"RO","IL",FALSE
"RU","IL",FALSE
"SM","IL",FALSE
"RS","IL",FALSE
"SK","IL",FALSE
"SI","IL",FALSE
"ES","IL",FALSE
"SE","IL",FALSE
"CH","IL",FALSE
"UA","IL",TRUE
"GB","IL",FALSE
"AL","IT",FALSE
"AD","IT",TRUE
"AM","IT",FALSE
"AU","IT",TRUE
"AT","IT",TRUE
"AZ","IT",FALSE
"BY","IT",FALSE
"BE","IT",TRUE
"BG","IT",FALSE
"HR","IT",FALSE
"CY","IT",FALSE
"DK","IT",TRUE
"EE","IT",FALSE
"FI","IT",FALSE
"FR","IT",FALSE
"GE","IT",FALSE
"DE","IT",TRUE
"GR","IT",FALSE
"HU","IT",TRUE
"IS","IT",FALSE
"IE","IT",FALSE
"IL","IT",FALSE
"LV","IT",FALSE
"LT","IT",FALSE
"LU","IT",TRUE
"MT","IT",TRUE
"MD","IT",FALSE
"MC","IT",TRUE
"ME","IT",FALSE
"MA","IT",FALSE
"NL","IT",FALSE
"MK","IT",FALSE
"NO","IT",FALSE
"PL","IT",TRUE
"PT","IT",FALSE
"RO","IT",TRUE
"RU","IT",FALSE
"SM","IT",TRUE
"RS","IT",FALSE
"SK","IT",TRUE
"SI","IT",FALSE
"ES","IT",FALSE
"SE","IT",FALSE
"CH","IT",TRUE
"UA","IT",FALSE
"GB","IT",FALSE
"AL","LV",FALSE
"AD","LV",FALSE
"AM","LV",FALSE
"AU","LV",FALSE
"AT","LV",FALSE
"AZ","LV",TRUE
"BY","LV",TRUE
"BE","LV",FALSE
"BG","LV",TRUE
"HR","LV",FALSE
"CY","LV",FALSE
"DK","LV",TRUE
"EE","LV",TRUE
"FI","LV",TRUE
"FR","LV",FALSE
"GE","LV",TRUE
"DE","LV",TRUE
"GR","LV",FALSE
"HU","LV",FALSE
"IS","LV",TRUE
"IE","LV",FALSE
